Article,Datum,Doublecheck Formula,Formula,Input data type,Input semantics,News-Orga,Position of user input in story,Response on user input,Topic,UI for user input,URL
"
        
        
        
    

Hier erfahren Sie, ob Sie zu viel Miete zahlen
",10. Oktober 2025,,"S →  (I₁, Au( I₁)) → S → V → S → V →  (I₂, Au(I₂)) → S → V → S","Category (ordinal), Date, Geographic, Numeric (continuous)",Sociodemographic Attributes,Spiegel,Intro,"Annotation update, Visualization update",Mieten & Wohnen,"Autocomplete/Typeahead, Button Based Input, Slider",https://www.spiegel.de/wirtschaft/service/mietspiegel-rechner-zahlen-sie-zu-viel-miete-a-17126383-523a-411c-aab0-06dbfef8658f
So hat sich der Krieg in der Ukraine verändert,10. Oktober 2025,,,,,Spiegel,,,Krieg,None,https://www.spiegel.de/ausland/ukraine-so-hat-sich-der-krieg-veraendert-a-e5dc42bf-ce56-4426-bfc5-0b06db01d645
Deshalb greift die Ukraine jetzt Russlands Raffinerien an,6. Oktober 2025,,,,,Spiegel,,,Krieg,None,https://www.spiegel.de/ausland/russland-so-schwaecht-die-ukraine-die-oelwirtschaft-von-russland-mit-luftangriffen-a-73ff0a10-7ba4-40b9-b67a-094393737b8b
Wo China die USA abhängt,7. Oktober 2025,,,,,Spiegel,,,Klima/wetter/Energie/Umwelt,None,https://www.spiegel.de/wissenschaft/usa-gegen-china-petro-vs-elektro-das-energieduell-in-grafiken-a-524e8f9f-41f2-40da-a11d-27164cab6799
Was noch vom Gazastreifen übrig ist,3. Oktober 2025,,,,,Spiegel,,,Krieg,None,https://www.spiegel.de/ausland/israels-krieg-gegen-die-hamas-was-noch-vom-gazastreifen-uebrig-ist-a-57cb500c-75d9-4733-9b43-d6f70114bc73
Hier ist Deutschland immer noch geteilt,3. Oktober 2025,,,,,Spiegel,,,Wirtschaft,None,https://www.spiegel.de/wirtschaft/35-jahre-deutsche-einheit-wo-deutschland-weiterhin-geteilt-ist-a-fb150164-e553-4e9f-b6f5-262a49351ab6
Das kann Deutschlands neuer U-Boot-Jäger,2. Oktober 2025,,,,,Spiegel,,,"Krieg, Technik",None,https://www.spiegel.de/wissenschaft/technik/u-boot-jagd-aus-der-luft-was-der-p-8a-seefernaufklaerer-kann-a-961ff14b-e7e3-4957-9cf0-9f8d40c573dc
Wenn der Haushaltsstreit den Staat lahmlegt,1. Oktober 2025,,,,,Spiegel,,,Politik,None,https://www.spiegel.de/wirtschaft/shutdown-usa-haushaltsstreit-in-der-vergangenheit-a-7e2f9917-ca7c-40d7-8d67-9e88af500c57
Wie Deutschlands teuerster Autobahnabschnitt den Verkehr lahmlegt,26. September 2025,,,,,Spiegel,,,Verkehr/Infrastruktur,None,https://www.spiegel.de/auto/a100-in-berlin-wie-deutschlands-teuerster-autobahnabschnitt-den-verkehr-lahmlegt-datenanalyse-a-6d0e9652-804b-4215-a21b-006541a80a4e
Hier drohen Wuchermieten – und hier können sich Studierende noch WG-Zimmer leisten,17. September 2025,,,Geographic,Exploratory filtering,Spiegel,Intro,Annotation update,Mieten & Wohnen,Autocomplete/Typeahead,https://www.spiegel.de/start/wg-zimmer-wo-studierende-sich-das-wohnen-mit-bafoeg-noch-leisten-koennen-a-8e8f210d-2034-492f-9522-0481b3b8ff2c
Im Basketballfinale bahnt sich ein Krimi an,14. September 2025,,,,,Spiegel,,,Sport,None,https://www.spiegel.de/sport/basketball/finale-der-basketball-em-deutschland-und-tuerkei-im-vergleich-a-1e2fb514-6eab-4fb6-8d29-418d372fe138
Mit diesen Waffen will China zur militärischen Supermacht werden,3. September 2025,,,,,Spiegel,,,Technik,None,https://www.spiegel.de/wissenschaft/technik/china-mit-diesen-waffen-will-peking-zur-militaerischen-supermacht-werden-a-67413a66-19f0-42c5-a944-ac66ccc82d18
Mit dieser Insel-Strategie schafft China Fakten,2. September 2025,,,,,Spiegel,,,Politik,None,https://www.spiegel.de/ausland/machtkampf-im-suedchinesischen-meer-wie-china-inseln-in-besitz-nimmt-a-4b543cb4-a099-49c0-b5d4-196f914a9320
»Buchen sollst du suchen? Das kann Leben kosten«,28. August 2025,,,,,Spiegel,,,Klima/wetter/Energie/Umwelt,None,https://www.spiegel.de/wissenschaft/gewitter-wie-man-sich-bei-blitz-und-donner-richtig-verhaelt-a-5afa9d00-09cb-4694-973a-471053a0f257
So steht es um das Grundwasser in Ihrer Region,27. August 2025,,,Geographic,Exploratory filtering,Spiegel,Mid,Annotation update,Klima/wetter/Energie/Umwelt,Autocomplete/Typeahead,https://www.spiegel.de/wissenschaft/grundwasser-in-deutschland-wer-darf-es-nutzen-gibt-es-genug-a-400340af-1217-4f14-a6e8-61c833191985
Was Deutschland in die Welt verkauft,26. August 2025,,,,,Spiegel,,,Wirtschaft,None,https://www.spiegel.de/wirtschaft/exportueberschuss-grafiken-zeigen-was-deutschland-in-die-welt-verkauft-a-c5bd6e74-fb5a-4caf-85ba-f289489f4fb2
"Wer erzeugt wie viel Plastik, wer kauft den Müll und wieso landet so viel im Meer?",25. August 2025,,,Geographic,Exploratory filtering,Spiegel,Mid,Visualization update,Klima/wetter/Energie/Umwelt,None,https://www.spiegel.de/wissenschaft/plastik-so-sehen-die-globalen-abfallstroeme-und-ihre-lokalen-folgen-aus-a-5cee6a05-87aa-45e8-a74c-b191cf300b48
So kurz sind die Alltagswege vor Ihrer Haustür (oder so abgehängt leben Sie),25. August 2025,,,Geographic,Exploratory filtering,Spiegel,Intro,"Annotation update, Local highlight of user input in visualization","Mieten & Wohnen, Stadt & Architektur, Verkehr/Infrastruktur","Autocomplete/Typeahead, None",https://www.spiegel.de/auto/leipzig-frankfurt-muenchen-wo-die-wege-zu-einkauf-arzt-schule-oder-sport-kurz-sind-a-9ebd533a-17c7-4869-b6b4-66531840465c
Dieses Projekt ist selbst für chinesische Verhältnisse gigantomanisch,19. August 2025,,,,,Spiegel,,,Klima/wetter/Energie/Umwelt,None,https://www.spiegel.de/ausland/tibet-gigantisches-energieprojekt-was-hinter-chinas-neuem-mega-staudamm-steckt-a-cb506c5d-9c01-491e-ba74-67b81bb23932
Wo Turbulenzen am häufigsten auftreten – und wie man sich schützt,17. August 2025,,,,,Spiegel,,,Verkehr/Infrastruktur,None,https://www.spiegel.de/wissenschaft/flugzeugturbulenzen-wo-sie-am-haeufigsten-auftreten-und-wie-man-sich-schuetzt-a-bc2bb3e7-7443-44b9-bd33-82693316df9c
"Dies sind die ukrainischen Gebiete, über die in Alaska verhandelt wird",15. August 2025,,,,,Spiegel,,,Krieg,None,https://www.spiegel.de/ausland/ukraine-krieg-so-ist-die-lage-an-der-front-kartenanalyse-a-165062f3-b5d4-4f68-99a1-905fab90999a
Wo war es heute am wärmsten?,14. August 2025,,,,,Spiegel,,,Klima/wetter/Energie/Umwelt,None,https://www.spiegel.de/panorama/deutschlandkarte-zur-hitze-in-deutschland-wo-heute-welche-temperaturen-gemessen-wurden-a-167664e3-208f-4f25-b768-1a2ded0d7b79
Wer hat’s gesagt?,13. August 2025,,,,,Spiegel,,,Politik,None,https://www.spiegel.de/politik/deutschland/quiz-zu-100-tage-schwarz-rot-wer-hats-gesagt-a-6a66484e-2749-4c53-bd2b-6e447043701d
Der DFB verliert den Anschluss,13. August 2025,,,,,Spiegel,,,Sport,None,https://www.spiegel.de/sport/fussball/fussball-der-frauen-warum-der-dfb-den-anschluss-verliert-a-d8688b24-d5c6-4f71-878f-c19fce3fac2f
"Das kosten Brot, Eier und Milch wirklich",12. August 2025,,,,,Spiegel,,,Konsum/Verbraucher,None,https://www.spiegel.de/wirtschaft/service/true-pricing-wieviel-brot-eier-und-milch-wirklich-kosten-a-c1f0b4ed-e256-4d07-be0b-c3cefecee4ca
Von der Willkommenskultur zur Abschottung,11. August 2025,,,,,Spiegel,,,Politik,None,https://www.spiegel.de/ausland/migration-10-jahre-wir-schaffen-das-von-der-aufnahme-zur-abschottung-a-7dfb8976-ee2b-4a16-b342-78f236716690
So überlastet ist die deutsche Justiz,11. August 2025,,,,,Spiegel,,,Politik,None,https://www.spiegel.de/panorama/justiz/justiz-ueberlastung-fuehrt-zu-verzoegerten-strafverfahren-zahlen-und-fakten-a-97f3f2b2-62dc-4ac9-81db-dd830f90f4b1
"Zehn Jahre, zehn Herausforderungen – und ein Lichtblick",13. August 2025,,,,,Spiegel,,,Politik,None,https://www.spiegel.de/panorama/10-jahre-wir-schaffen-das-zehn-jahre-zehn-probleme-und-ein-lichtblick-a-2a5d330c-6777-4696-a0b3-0e016523205e
"Ein Feuer, das sich schwer beherrschen lässt",7. August 2025,,,,,Spiegel,,,Klima/wetter/Energie/Umwelt,None,https://www.spiegel.de/wissenschaft/natur/frankreich-warum-sich-die-waldbraende-nur-schwer-beherrschen-lassen-a-b619d38d-fcef-4138-8efd-14342bd40c0d
Hier steigen die Mieten in Deutschland am stärksten,5. August 2025,,,Geographic,Exploratory filtering,Spiegel,Mid,Annotation update,Mieten & Wohnen,"Autocomplete/Typeahead, None",https://www.spiegel.de/wirtschaft/immobilien-exklusive-daten-zeigen-starke-mietanstiege-in-deutschland-a-4f8741ea-d1bc-47e3-ae2f-c19dda5abb6e
Leben Sie über dem Durchschnitt?,2. August 2025,,,,,Spiegel,,,Mieten & Wohnen,None,https://www.spiegel.de/panorama/gesellschaft/einkommen-alter-wohnungsgroesse-wo-in-deutschland-durchschnittliche-menschen-leben-a-bbd47ae8-c82f-4b13-9e73-98a2649fd772
Hat die EU gut mit Trump verhandelt?,29. Juli 2025,,,,,Spiegel,,,Steuerpolitik,None,https://www.spiegel.de/wirtschaft/eu-und-usa-vergleich-der-handelsabkommen-mit-grossbritannien-und-japan-a-adb28d78-ba64-4df0-b805-a6c126d6d7bc
War die EM 2025 ein TV-Blockbuster?,29. Juli 2025,,"S → V₁, I₁, V₁cuuo(I₁)→ S",Numeric (continuous),Make a Guess,Spiegel,Mid,User-drawn vs. actual data visualization (difference shown),Sport,Chart Drawing,https://www.spiegel.de/sport/fussball/fussball-em-2025-war-die-europameisterschaft-ein-tv-blockbuster-a-7aae2b1a-3b16-4e01-97f2-8f69c6bea7ff
Finden Sie den Ball?,21. Juli 2025,,,,,Spiegel,,,Sport,None,https://www.spiegel.de/sport/em-2025-finden-sie-den-ball-das-quiz-zur-fussball-europameisterschaft-a-4fd914ec-2fcd-481c-ad3d-ea65a57419cf
Wer übertrumpft Jule Brands Marktwert? Wer schießt mehr Tore als Selina Cerci? Spielen Sie hier das SPIEGEL-Quartett!,29. Juli 2025,,,,,Spiegel,,,Sport,None,https://www.spiegel.de/sport/fussball/wer-uebertrumpft-jule-brands-marktwert-wer-schiesst-mehr-tore-als-selina-cerci-spielen-sie-hier-das-spiegel-quartett-a-9601f968-1ad4-4d5a-addd-506b622943cc
Wie klimafreundlich ist »Pflanzenmilch«?,19. Juli 2025,,,category (nominal),Exploratory filtering,Spiegel,Final,"Annotation update, Visualization update",Konsum/Verbraucher,Button Based Input,https://www.spiegel.de/wissenschaft/natur/milch-vs-pflanzliche-alternativen-oekobilanzen-im-vergleich-a-eb80bfc2-f40d-4022-a957-7ec13f4d672d
Wer kämpft hier eigentlich gegen wen?,18. Juli 2025,,,,,Spiegel,,,Krieg,None,https://www.spiegel.de/ausland/syrien-wer-kaempft-hier-eigentlich-gegen-wen-a-397efc7d-2448-47e5-ac3a-164d10353b16
Spahn weit unten – Zuspruch für Dobrindt,18. Juli 2025,,,,,Spiegel,,,Politik,None,https://www.spiegel.de/politik/deutschland/umfragen-jens-spahn-im-tal-zuspruch-fuer-alexander-dobrindt-a-310f66d3-9348-4c7c-8a13-8d58b7e4b323
So ist die Lage an der Front in der Ukraine,18. Juli 2025,,,,,Spiegel,,,Krieg,None,https://www.spiegel.de/ausland/russland-ukraine-krieg-so-ist-die-lage-an-der-front-a-a0f6ad15-11eb-4bb4-9211-73b07082e59a
Welche Pasta passt zu welcher Soße?,18. Juli 2025,,,,,Spiegel,,,Konsum/Verbraucher,None,https://www.spiegel.de/stil/nudeln-welche-pasta-passt-zu-welcher-sosse-der-ueberblick-a-01c398cd-ee47-47f8-a5ce-721f0d56b57d
"Talkshow-König Karl, Berlins Balzac und der ewige TV-Schattenkanzlerkandidat",12. Juli 2025,,,category (nominal),Exploratory filtering,Spiegel,Mid,Visualization update,Gesellschaft,Autocomplete/Typeahead,https://www.spiegel.de/kultur/tv/sandra-maischberger-markus-lanz-und-caren-miosga-talkshows-in-der-datenanalyse-a-b7e46530-d826-4424-95c5-6c2f220595b1
Das Märchen vom deutschen Gas,12. Juli 2025,,,,,Spiegel,,,Politik,None,https://www.spiegel.de/wissenschaft/technik/energiereserven-deutsche-gasvorkommen-und-ihre-foerdermoeglichkeiten-a-e124e6ae-44e6-40e6-ac1f-70ce4fe59135
"Benzinpreis, Fahrverbot, Maut – wie entscheiden Sie?",9. Juli 2025,,"S → V → S → ⟦V₁, A₁u⟧ →  (Iₙ, V₁u(I₁…ₙ), A₁u(I₁…ₙ) → S)ₙ₌₁…₁₂ → (¬V₁, ¬Au₁)",category (nominal),"Opinion, Simulation Parameter",Spiegel,Recurring,"Annotation update, Story update, Visual comparison of user inputs across participants and official data, Visualization update",Verkehr/Infrastruktur,Button Based Input,https://www.spiegel.de/auto/verkehrsminister-spiel-benzinpreis-fahrverbot-maut-wie-entscheiden-sie-a-f39737a8-4bbb-48b0-82c8-af10d302e99f
In diesen Metropolen lebt es sich am besten,7. Juli 2025,,,,,Spiegel,,,Mieten & Wohnen,None,http://spiegel.de/wirtschaft/soziales/lebensqualitaet-in-diesen-metropolen-lebt-es-sich-am-besten-a-49ee5bc6-0be3-4f29-b00c-8db3ae1727be
"Alter, Tore, Marktwert – die deutschen Spielerinnen im Check",4. Juli 2025,,,,,Spiegel,,,Sport,None,https://www.spiegel.de/sport/fussball/frauen-em-2025-giulia-gwinn-laura-freigang-sara-daebritz-und-co-im-daten-check-a-2d396870-04e1-4e98-b16a-09a482d96b3a
An diesen Orten brennt der Wald in Europa,3. Juli 2025,,,,,Spiegel,,,Klima/wetter/Energie/Umwelt,None,https://www.spiegel.de/wissenschaft/waldbraende-in-europa-mehr-feuer-als-im-langjaehrigen-durchschnitt-a-9fa98de1-8b51-4bc9-86a8-70d0484272f0
Kubismus trifft Streetart und Jungfraubahn,3. Juli 2025,,S → V → S → I₁ → Vcuu(I₁),Binary,Personal Subjective,Spiegel,Final,Visualization update,Sport,Visual Object Selection,https://www.spiegel.de/sport/fussball/fussball-em-2025-deutschland-in-weiss-oder-rot-alle-trikots-der-16-mannschaften-im-ueberblick-a-35c8d227-9514-4eea-b4f4-36bccbb6fe43
" 
Wo heute Rekordwerte gemessen wurden",2. Juli 2025,,,,,Spiegel,,,Klima/wetter/Energie/Umwelt,None,https://www.spiegel.de/panorama/hitze-in-deutschland-wo-heute-rekordwerte-gemessen-wurden-deutschlandkarte-a-82752d98-e1c6-46cd-89cb-5ddfadb71321
"Rente, Pflege, Krankenkasse – so schrumpft Ihr Gehalt bis 2045 zusammen",23. Dezember 2024,,"S →  I₁ → ⟦V₁u(I₁)⟧, Au(I₁)→ Su(I₁) → (Su(I₁), V₁u(I₁), Au(I₁)) → (Su(I₁), V₁u(I₁), Au(I₁)) → (Su(I₁), V₁u(I₁), Au(I₁)) → (Su(I₁), V₁u(I₁), Au(I₁)) → (I₂, Au(I₂), V₁u(I₂)) → S → V₁u(I₁, I₂) → S → (Su(I₂), Au(I₂)) → (¬V₁) →S","Numeric (continuous), category (nominal)","Economic Attributes, Simulation Parameter, Sociodemographic Attributes",Spiegel,Mid,"Annotation update, Persistent user input highlight across visualizations, Story update, Visualization update",Vermögen,"Button Based Input, Slider",https://www.spiegel.de/wirtschaft/soziales/rente-pflege-krankenkasse-rechner-zeigt-wie-ihr-gehalt-bis-2045-zusammenschrumpft-a-4be44dd2-7195-41be-9da2-6cea1c573616
" 
Was kostet ein Studium?",7. Juli 2025,,"S → (V₁, I₁, Vz(I₁), V₂h(I₁), Au(I₁)) → S → V → S → V → S","Geographic, category (nominal)",Sociodemographic Attributes,Spiegel,Intro,"Visualization update, Zoom-in existing visualization based on user input",Mieten & Wohnen,"Autocomplete/Typeahead, Button Based Input",https://www.spiegel.de/start/studium-was-studieren-wo-in-deutschland-kostet-staedte-im-vergleich-a-2f632d00-6a7e-4ba8-a971-30cd6de8aa9b
Verteilen Sie die 500 Milliarden Euro aus dem Sondervermögen,24. Juni 2025,,"S → V₁, I₁, V₁u(I₁) → S → (V₂(I₁), I₂, V₂u(I₂)) → S → (V₃(I₁), I₃, V₃u(I₃)) → S → (V₄(I₁), I₄, V₄u(I₄)) → S →  V₅cuuo(I₁…₄)→ S",Numeric (continuous),Opinion,Spiegel,"Final, Intro","Annotation update, Local highlight of user input in visualization, Visual comparison of user inputs across participants and official data, Visualization update",Politik,Slider,https://www.spiegel.de/wirtschaft/sondervermoegen-wie-wuerden-sie-500-milliarden-euro-verteilen-a-abb9d6d2-a112-4984-a1bf-122a363f1e55
So verlängern Sie 2025 Ihren Urlaub,29. Dezember 2024,,S → I₁ → Vh(I₁) → Au(I₁)) → S,"Binary, Date, Geographic",Sociodemographic Attributes,Spiegel,Mid,"Annotation update, Visualization update","Arbeitsmarkt, Konsum/Verbraucher","Button Based Input, Checkbox, Dropdown",https://www.spiegel.de/karriere/brueckentage-rechner-so-optimieren-sie-ihren-urlaub-in-2025-a-5215baaf-b08c-46af-87d2-72173ed0de16
Mit diesen Kosten müssen Sie bei der Haussanierung rechnen,18. Juli 2025,,"S → ⟦A₁u⟧ → (S → Iₙ → A₁u(I₁…ₙ))ₙ₌₁…₆
→ S →  (¬A₁u) → A(I₁…₆) → Su(I₁…₆) → S",category (nominal),Cost Parameter,Spiegel,Recurring,Persistent user input reference across annotations,Mieten & Wohnen,Button Based Input,https://www.spiegel.de/wirtschaft/service/haussanierung-rechner-mit-diesen-kosten-muessen-sie-bei-der-sanierung-rechnen-a-21d44182-15ed-44cd-8ed2-44a188079d2f
Wie viel Rendite Sie (trotz Crash) mit Aktien machen können,18. Juli 2022,,"S → V → S → ⟦V₁⟧ → S₁…₇ → (¬V₁) → S → I₁, Vh(I₁)",Numeric (continuous),Cost Parameter,Spiegel,Final,Annotation update,Vermögen,"Button Based Input, Number Input, Range Slider, Stepper",https://www.spiegel.de/wirtschaft/service/boerse-wie-viel-rendite-sie-trotz-crash-mit-aktien-machen-koennen-a-34cff387-3ab3-45cf-bfb6-7832abbe4584
So viel kostet Ihre Periode im Lauf Ihres Lebens,28. Mai 2021,,I₁ → A(I₁) → S → V → S → V → S → V → S,"Binary, Category (ordinal), Numeric (continuous)","Behavior, Sociodemographic Attributes",Spiegel,Intro,Annotation update,Gesundheit,"Button Based Input, Dropdown",https://www.spiegel.de/ausland/menstruationsrechner-so-viel-kostet-ihre-periode-im-lauf-ihres-lebens-a-bba05bb1-016e-400c-b9ac-d0c49cfe10c2
How are you doing?,1. Juni 2024,,"S →  ⟦V₁] → I₁, V₁u(I₁) → S → A(I₁) → S → S(I₁) → I₂(I₁) → V₁u(I₂) → S → I₃(I₂), V₁u(₃) → S → I₄ → S → I₅ → S → A(I₁…₅) → S",category (nominal),Personal Subjective,The Pudding,Recurring,"Annotation update, Story update",Gesundheit,"Button Based Input, Visual Object Selection",https://pudding.cool/2022/12/emotion-wheel/
On Upward Mobility,1. November 2022,,,,,The Pudding,,,Gesellschaft,None,https://pudding.cool/2022/11/upward-mobility/
How Artists Get Paid From Streaming,1. Juni 2022,,,Numeric (continuous),Exploratory filtering,The Pudding,Final,Visualization update,Kultur,Slider,https://pudding.cool/2022/06/streaming/
"This project is about your geographic music bubble. ",1. Mai 2021,,,,,The Pudding,,,Kultur,None,https://pudding.cool/2021/04/music-bubble/
"Scientists just found a way to break through climate apathy
    ",5. Mai 2025,,,,,Grist,,,Klima/wetter/Energie/Umwelt,None,https://grist.org/science/break-through-climate-apathy-data-visualization-lake-freezing-study/
At least 170 US hospitals face major flood risk. Experts say Trump is making it worse.,4. Oktober 2025,,,,,Grist,,,Klima/wetter/Energie/Umwelt,None,https://grist.org/accountability/at-least-170-us-hospitals-face-major-flood-risk-experts-say-trump-is-making-it-worse/
"Executive Reaction
    ",25. Januar 2022,,,"Category (ordinal), category (nominal)",Exploratory filtering,Grist,Mid,Visualization update,Klima/wetter/Energie/Umwelt,"Autocomplete/Typeahead, Button Based Input, Dropdown",https://grist.org/project/accountability/trump-rollbacks-biden-climate-tracker/
"A visual guide to this year’s heat domes, hurricanes, and wildfires",22. Dezember 2021,,,,,Grist,,,Klima/wetter/Energie/Umwelt,None,https://grist.org/extreme-weather/2021-cartoon-recap-heat-domes-hurricanes-and-wildfires-oh-my/
"What happened to Biden’s climate policy plans? A visual guide.
    ",21. Dezember 2021,,,,,Grist,,,Klima/wetter/Energie/Umwelt,None,https://grist.org/politics/2021-cartoon-recap-what-happened-to-bidens-climate-policy-plans/
Chicago: Does your water service line contain lead?,27. August 2025,,,"Geographic, category (nominal)","Exploratory filtering, Sociodemographic Attributes",Grist,Intro,"Visualization update, Zoom-in existing visualization based on user input",Klima/wetter/Energie/Umwelt,"Autocomplete/Typeahead, Button Based Input",https://grist.org/project/updates/interactive-chicago-lead-map/
"

                                  How wildfires could unravel California’s climate progress
                                ",27. Oktober 2021,,,,,Grist,,,Klima/wetter/Energie/Umwelt,None,https://grist.org/burning-issue/how-wildfires-could-unravel-californias-climate-progress/
"Should we pull carbon out of the air with trees, or machines?
    ",30. Mai 2023,,,,,Grist,,,Klima/wetter/Energie/Umwelt,None,https://grist.org/technology/should-we-pull-carbon-out-of-the-air-with-trees-or-machines/
"
      After the Flood
    ",9. September 2023,,,,,Grist,,,Klima/wetter/Energie/Umwelt,None,https://grist.org/cities/detroit-flood-mold-problem/
Wiped Off the Map,20. Dezember 2024,,,,,Grist,,,Klima/wetter/Energie/Umwelt,None,https://grist.org/indigenous/state-trust-lands-yakama-nation-washington/
"
      Abandoned in Osage
    ",3. November 2023,,,,,Grist,,,Klima/wetter/Energie/Umwelt,None,https://grist.org/accountability/abandoned-oil-wells-osage-nation/
Misplaced Trust,7. Februar 2024,,,"Binary, Geographic, category (nominal)",Exploratory filtering,Grist,Mid,Zoom-in existing visualization based on user input,Klima/wetter/Energie/Umwelt,"Autocomplete/Typeahead, Button Based Input, Checkbox, Dropdown",https://grist.org/project/equity/land-grant-universities-indigenous-lands-fossil-fuels/
Where are all the climate journalists?,1. August 2025,,,category (nominal),Exploratory filtering,Grist,Final,Visualization update,Klima/wetter/Energie/Umwelt,Dropdown,https://grist.org/updates/where-in-the-world-are-all-the-climate-journalists/
"In Georgia, a fight over credit for its clean energy boom
    ",6. Mai 2025,,,"Geographic, Numeric (continuous), category (nominal)","Exploratory filtering, Sociodemographic Attributes",Grist,Mid,Zoom-in existing visualization based on user input,Klima/wetter/Energie/Umwelt,"Autocomplete/Typeahead, Button Based Input, Range Slider",https://grist.org/economics/in-georgia-a-fight-over-credit-for-its-clean-energy-boom/
State trust lands on reservations,6. September 2024,,,category (nominal),Exploratory filtering,Grist,Intro,Zoom-in existing visualization based on user input,Klima/wetter/Energie/Umwelt,Dropdown,https://grist.org/project/updates/interactive-state-trust-lands-on-reservations/
Who leases this land?,6. September 2024,,,category (nominal),Exploratory filtering,Grist,Intro,Zoom-in existing visualization based on user input,Klima/wetter/Energie/Umwelt,Dropdown,https://grist.org/project/updates/interactive-who-leases-state-trust-lands-on-reservations/
"
      Warehouses storing products sterilized with ethylene oxide
    ",4. Mai 2025,,,Geographic,Exploratory filtering,Grist,Intro,Zoom-in existing visualization based on user input,Klima/wetter/Energie/Umwelt,Autocomplete/Typeahead,https://grist.org/project/updates/interactive-warehouses-storing-products-sterilized-with-ethylene-oxide/
Western economies falter under the Trump administration		,10. November 2025,,,,,High Country News,,,Wirtschaft,None,https://www.hcn.org/issues/western-economies-falter-under-the-trump-administration/
"For rural Californians, unreliable power has become the norm		",3. November 2025,,,,,High Country News,,,Klima/wetter/Energie/Umwelt,None,https://www.hcn.org/issues/57-11/for-rural-californians-unreliable-power-has-become-the-norm/
"
			Who controls food in the West?		",2. September 2025,,,,,High Country News,,,"Konsum/Verbraucher, Wirtschaft",None,https://www.hcn.org/issues/57-9/who-controls-food-in-the-west/
"
			The West’s data centers suck (water and power)		",28. Juli 2025,,,,,High Country News,,,"Klima/wetter/Energie/Umwelt, Technik",None,https://www.hcn.org/issues/57-8/the-wests-data-centers-suck-water-and-power/
Western states step up to save their wetlands,1. Juli 2025,,,,,High Country News,,,Klima/wetter/Energie/Umwelt,None,https://www.hcn.org/issues/57-7/western-states-step-up-to-save-their-wetlands/
Wolves return to the West		,1. Juni 2025,,,,,High Country News,,,Klima/wetter/Energie/Umwelt,None,https://www.hcn.org/issues/57-6/wolves-return-to-the-west/
"
			See 60 days of DOGE chaos		",1. Mai 2025,,,,,High Country News,,,Politik,None,https://www.hcn.org/issues/57-5/see-60-days-of-doge-chaos/
Bird flu finds its way into Western wildlife		,1. April 2025,,,,,High Country News,,,Klima/wetter/Energie/Umwelt,None,https://www.hcn.org/issues/57-4/bird-flu-finds-its-way-into-western-wildlife/
"
			Is a nuclear renaissance coming?		",1. April 2025,,,,,High Country News,,,Klima/wetter/Energie/Umwelt,None,https://www.hcn.org/issues/57-4/is-a-nuclear-renaissance-coming/
"
			The rise of the recreation economy		",1. März 2025,,,,,High Country News,,,Wirtschaft,None,https://www.hcn.org/issues/57-3/the-rise-of-the-recreation-economy/
"
			The climate fight endures		",1. Februar 2025,,,,,High Country News,,,Klima/wetter/Energie/Umwelt,None,https://www.hcn.org/issues/57-2/the-climate-fight-endures/
Montana’s ag tax slashes bills for thousands of million-dollar homes,6. Januar 2025,,,,,High Country News,,,Steuerpolitik,None,https://www.hcn.org/articles/montanas-ag-tax-slashes-bills-for-thousands-of-million-dollar-homes/
"
			Who voted in the 2024 election?		",1. Januar 2025,,,,,High Country News,,,Politik,None,https://www.hcn.org/issues/57-1/who-voted-in-the-2024-election/
Your 2025 Guide to Holiday Prices: Where Tariffs Are Biting and Where They’re Not,14. November 2025,,,,,Bloomberg News,,,"Konsum/Verbraucher, Wirtschaft",None,https://www.bloomberg.com/graphics/2025-conservative-youtube-stars-marketing-boom/?srnd=phx-graphics-v2
YouTube’s Right-Wing Stars Fuel Boom in Politically Charged Ads,20. November 2025,,,,,Bloomberg News,,,Gesellschaft,None,https://www.bloomberg.com/graphics/2025-conservative-youtube-stars-marketing-boom/?srnd=phx-graphics-v2
The Many Faces of Abu Dhabi’s Trillions,7. Dezember 2025,,,,,Bloomberg News,,,Politik,None,https://www.bloomberg.com/graphics/2025-abu-dhabi-investment-funds/?srnd=phx-graphics-v2
GPS Interference Snarls Venezuela as US Warns of Hazardous Skies,26. November 2025,,,,,Bloomberg News,,,Politik,None,https://www.bloomberg.com/graphics/2025-venezuela-gps-jamming/?srnd=phx-graphics-v2
"After Gold and Diamonds, Russia Turns to Africa’s Trove of Fish",26. November 2025,,,,,Bloomberg News,,,Politik,None,https://www.bloomberg.com/graphics/2025-russia-africa-fishing/?srnd=phx-graphics-v2
Trump’s $21 Trillion Investment Boom Is Actually Short Trillions,24. November 2025,,,,,Bloomberg News,,,"Politik, Wirtschaft",None,https://www.bloomberg.com/graphics/2025-trump-investment-boom-trillions/?srnd=phx-graphics-v2
Pick-A-Ticker,5. Dezember 2025,,,,,Bloomberg News,,,Wirtschaft,None,https://www.bloomberg.com/graphics/2025-robin-hood-foundation-charity-investor-stock-contest/?srnd=phx-graphics-v2
Epstein’s Library,5. Dezember 2025,,,,,Bloomberg News,,,Verbrechen/Konflikt,None,https://www.bloomberg.com/graphics/2025-jeffrey-epstein-emails-books/?srnd=phx-graphics-v2
